reference_code;collection;currency;price_in_usd;year;Latest month;Date
BA0664;FORMULA 1;CNY;260.0;2022;1;1/01/2022
BA0666;FORMULA 1;CNY;260.0;2022;1;1/01/2022
BC0921;FORMULA 1;CNY;107.1;2022;1;1/01/2022
BC0922;FORMULA 1;CNY;107.1;2022;1;1/01/2022
BC0923;FORMULA 1;CNY;107.1;2022;1;1/01/2022
BC0927;FORMULA 1;CNY;107.1;2022;1;1/01/2022
BC0928;FORMULA 1;CNY;107.1;2022;1;1/01/2022
BC0929;FORMULA 1;CNY;107.1;2022;1;1/01/2022
BC0930;FORMULA 1;CNY;107.1;2022;1;1/01/2022
CAR5A5U.FC6377;CARRERA;AED;31454.1;2022;12;1/12/2022
CAR5A8AD.FC6415;CARRERA;JPY;22100.3;2022;12;1/12/2022
CAR5A8AF.FC6415;CARRERA;AED;26541.2;2022;12;1/12/2022
CAR5A8C.BF0707;CARRERA;AED;25524.7;2022;12;1/12/2022
CAR5A8W.FT6071;CARRERA;AED;23378.8;2022;12;1/12/2022
CAR5A8Y.FC6377;CARRERA;AED;22080.0;2022;12;1/12/2022
CAR5A90.BH0742;CARRERA;AED;23717.6;2022;12;1/12/2022
CAR5A90.FC6415;CARRERA;AED;22192.9;2022;12;1/12/2022
CAW211J.FC6476;MONACO;CHF;7143.5;2022;12;1/12/2022
CAW211P.FC6356;MONACO;AED;8075.3;2022;12;1/12/2022
CAW211R.FC6401;MONACO;USD;7450.0;2022;12;1/12/2022
CAY1110.BA0927;AQUARACER;AED;2710.6;2022;12;1/12/2022
CAY111A.BA0927;AQUARACER;AED;2597.6;2022;7;1/07/2022
CAY111B.BA0927;AQUARACER;AED;2597.6;2022;7;1/07/2022
CAY2110.BA0927;AQUARACER;EUR;3823.5;2022;7;1/07/2022
CAY2112.BA0927;AQUARACER;CHF;3625.9;2022;7;1/07/2022
CAZ1010.BA0842;FORMULA 1;AED;2032.9;2022;12;1/12/2022
CAZ1010.FT8024;FORMULA 1;AED;1807.1;2022;12;1/12/2022
CAZ1011.BA0842;FORMULA 1;AED;2371.8;2022;12;1/12/2022
CAZ1011.BA0843;FORMULA 1;AED;2710.6;2022;12;1/12/2022
CAZ1014.BA0842;FORMULA 1;AED;2089.4;2022;12;1/12/2022
CAZ1014.FC8196;FORMULA 1;AED;1807.1;2022;12;1/12/2022
CAZ1014.FT8028;FORMULA 1;USD;1750.0;2022;12;1/12/2022
CAZ101AC.BA0842;FORMULA 1;AED;2484.7;2022;12;1/12/2022
CAZ101AC.BA0843;FORMULA 1;GBP;2890.6;2022;12;1/12/2022
CAZ101AC.FT8024;FORMULA 1;AED;2258.8;2022;12;1/12/2022
CAZ101AD.FT8024;FORMULA 1;AED;2541.2;2022;4;1/04/2022
CAZ101AG.BA0842;FORMULA 1;AED;2484.7;2022;12;1/12/2022
CAZ101AG.FC8304;FORMULA 1;AED;2258.8;2022;12;1/12/2022
CAZ101AH.BA0842;FORMULA 1;AED;2484.7;2022;12;1/12/2022
CAZ101AJ.FC6487;FORMULA 1;AED;2767.1;2022;12;1/12/2022
CAZ101AK.BA0842;FORMULA 1;AED;2428.2;2022;12;1/12/2022
CAZ101AL.BA0842;FORMULA 1;AED;2541.2;2022;12;1/12/2022
CAZ101AL.FT8052;FORMULA 1;AED;2315.3;2022;12;1/12/2022
CAZ101AM.FT8054;FORMULA 1;AED;2032.9;2022;12;1/12/2022
CAZ101AN.FT8055;FORMULA 1;AED;2032.9;2022;12;1/12/2022
CAZ101AP.FT8056;FORMULA 1;AED;2032.9;2022;12;1/12/2022
CAZ101AR.BA0842;FORMULA 1;AED;2710.6;2022;12;1/12/2022
CAZ101E.BA0842;FORMULA 1;AED;2089.4;2022;12;1/12/2022
CAZ101K.BA0842;FORMULA 1;AED;1976.5;2022;12;1/12/2022
CAZ101M.FT8024;FORMULA 1;CHF;1731.8;2022;1;1/01/2022
CAZ101N.BA0842;43 MM QUARTZ;GBP;2546.5;2022;12;1/12/2022
CAZ101N.FC8243;FORMULA 1;AED;2202.4;2022;12;1/12/2022
CAZ2010.BA0876;FORMULA 1;AED;3501.2;2022;12;1/12/2022
CAZ2012.BA0876;FORMULA 1;AED;3727.1;2022;12;1/12/2022
CAZ2012.BA0970;FORMULA 1;AED;4065.9;2022;12;1/12/2022
CAZ2015.BA0876;FORMULA 1;AED;3501.2;2022;12;1/12/2022
CAZ201B.FC6487;FORMULA 1;AED;3783.5;2022;4;1/04/2022
CAZ201D.BA0633;FORMULA 1;AED;4065.9;2022;12;1/12/2022
CAZ201E.FC6517;FORMULA 1;AED;4743.5;2022;12;1/12/2022
CAZ5080.FC6517;FORMULA 1;AED;28235.3;2022;12;1/12/2022
CBC2110.BA0603;LINK;AED;5477.6;2022;12;1/12/2022
CBC2112.BA0603;LINK;AED;5477.6;2022;12;1/12/2022
CBE511B.FC8279;AUTAVIA;AED;7454.1;2022;12;1/12/2022
CBE511C.FC8280;AUTAVIA;AED;8131.8;2022;12;1/12/2022
CBG2050.FC6426;CARRERA;AED;11294.1;2022;12;1/12/2022
CBG2051.FC6426;CARRERA;AED;15021.2;2022;12;1/12/2022
CBG2090.BH0661;CARRERA;AED;7905.9;2022;12;1/12/2022
CBG2090.FT6145;CARRERA;AED;7736.5;2022;12;1/12/2022
CBG2A10.BA0654;CARRERA;AED;7171.8;2022;12;1/12/2022
CBG2A10.FT6168;CARRERA;AED;6832.9;2022;12;1/12/2022
CBG2A11.BA0654;CARRERA;AED;7171.8;2022;12;1/12/2022
CBG2A1Z.BA0658;CARRERA;AED;7792.9;2022;12;1/12/2022
CBG2A1Z.FT6157;CARRERA;AED;7397.6;2022;12;1/12/2022
CBG2A50.FC6450;CARRERA;AED;11971.8;2022;12;1/12/2022
CBG2A90.BH0653;CARRERA;AED;8075.3;2022;12;1/12/2022
CBG2A90.FT6173;CARRERA;AED;7905.9;2022;12;1/12/2022
CBG2A91.FT6173;CARRERA;AED;9035.3;2022;12;1/12/2022
CBK2110.BA0715;CARRERA;AED;5082.4;2022;12;1/12/2022
CBK2110.FC6266;CARRERA;AED;4856.5;2022;12;1/12/2022
CBK2112.BA0715;CARRERA;AED;5082.4;2022;12;1/12/2022
CBK2112.FC6292;CARRERA;AED;4969.4;2022;12;1/12/2022
CBK2115.BA0715;CARRERA;AED;4912.9;2022;12;1/12/2022
CBK221B.FC6479;CARRERA;JPY;6339.9;2022;12;1/12/2022
CBK221C.FC6488;CARRERA;JPY;6607.8;2022;12;1/12/2022
CBK221D.FC6479;CARRERA;JPY;7009.6;2022;7;1/07/2022
CBK221G.FC6479;CARRERA;AED;7454.1;2022;12;1/12/2022
CBL2111.BA0644;MONACO;AED;8188.2;2022;12;1/12/2022
CBL2111.FC6453;MONACO;AED;7849.4;2022;12;1/12/2022
CBL2113.BA0644;MONACO;AED;8188.2;2022;12;1/12/2022
CBL2113.FC6177;MONACO;AED;7849.4;2022;12;1/12/2022
CBL2115.FC6494;MONACO;AED;8188.2;2022;12;1/12/2022
CBL2118.FC6518;MONACO;AED;7905.9;2022;12;1/12/2022
CBL2180.FC6497;MONACO;AED;9487.1;2022;12;1/12/2022
CBM2110.BA0651;CARRERA;AED;5195.3;2022;12;1/12/2022
CBM2110.FC6454;CARRERA;AED;4912.9;2022;12;1/12/2022
CBM2112.FC6455;CARRERA;AED;4912.9;2022;12;1/12/2022
CBN2010.BA0642;CARRERA;AED;6324.7;2022;12;1/12/2022
CBN2011.BA0642;CARRERA;AED;6324.7;2022;12;1/12/2022
CBN2012.FC6483;CARRERA;AED;6211.8;2022;12;1/12/2022
CBN2013.FC6483;CARRERA;AED;6437.6;2022;12;1/12/2022
CBN2014.EB0240;CARRERA;AED;6889.4;2022;12;1/12/2022
CBN2016.EB0275;CARRERA;AED;8527.1;2022;12;1/12/2022
CBN2019.BA0642;CARRERA;JPY;6027.4;2022;12;1/12/2022
CBN2044.FC8313;CARRERA;AED;23717.6;2022;12;1/12/2022
CBN2045.FC8316;CARRERA;AED;25976.5;2022;12;1/12/2022
CBN2A10.BA0643;CARRERA;AED;6663.5;2022;12;1/12/2022
CBN2A1A.BA0643;CARRERA;AED;6832.9;2022;12;1/12/2022
CBN2A1A.FC6537;CARRERA;AED;6268.2;2022;12;1/12/2022
CBN2A1AA.BA0643;CARRERA;AED;5590.6;2022;12;1/12/2022
CBN2A1AA.FT6228;CARRERA;AED;5251.8;2022;12;1/12/2022
