Category: All categories

Day,Audemars Piguet: (Worldwide)
2024-11-19,56
2024-11-20,69
2024-11-21,71
2024-11-22,75
2024-11-23,80
2024-11-24,75
2024-11-25,65
2024-11-26,66
2024-11-27,63
2024-11-28,76
2024-11-29,71
2024-11-30,80
2024-12-01,72
2024-12-02,63
2024-12-03,64
2024-12-04,66
2024-12-05,68
2024-12-06,70
2024-12-07,74
2024-12-08,73
2024-12-09,62
2024-12-10,58
2024-12-11,56
2024-12-12,61
2024-12-13,63
2024-12-14,70
2024-12-15,67
2024-12-16,70
2024-12-17,69
2024-12-18,69
2024-12-19,68
2024-12-20,70
2024-12-21,68
2024-12-22,71
2024-12-23,71
2024-12-24,80
2024-12-25,100
2024-12-26,76
2024-12-27,77
2024-12-28,73
2024-12-29,74
2024-12-30,69
2024-12-31,76
2025-01-01,81
2025-01-02,70
2025-01-03,71
2025-01-04,80
2025-01-05,79
2025-01-06,67
2025-01-07,69
2025-01-08,66
2025-01-09,67
2025-01-10,68
2025-01-11,75
2025-01-12,68
2025-01-13,68
2025-01-14,65
2025-01-15,63
2025-01-16,64
2025-01-17,79
2025-01-18,78
2025-01-19,77
2025-01-20,65
2025-01-21,66
2025-01-22,65
2025-01-23,67
2025-01-24,70
2025-01-25,76
2025-01-26,75
2025-01-27,66
2025-01-28,66
2025-01-29,63
2025-01-30,62
2025-01-31,69
2025-02-01,73
2025-02-02,71
2025-02-03,58
2025-02-04,59
2025-02-05,65
2025-02-06,64
2025-02-07,67
2025-02-08,73
2025-02-09,73
2025-02-10,68
2025-02-11,70
2025-02-12,71
2025-02-13,66
2025-02-14,73
2025-02-15,83
2025-02-16,77
2025-02-17,64
2025-02-18,61
2025-02-19,66
