reference_code,collection,url
WAY208F.BF0638,AQUARACER,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-aquaracer/43-mm-calibre-5-automatic/WAY208F.BF0638.html
CBN2011.BA0642,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/42-mm-calibre-heuer-02/CBN2011.BA0642.html
CBN2012.FC6483,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/42-mm-calibre-heuer-02/CBN2012.FC6483.html
CBN2A1E.BA0643,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/44-mm-calibre-heuer-02-automatic/CBN2A1E.BA0643.html
CBL2113.BA0644,MONACO,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-monaco/39-mm-calibre-heuer-02-automatic/CBL2113.BA0644.html
CBN2010.BA0642,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/42-mm-calibre-heuer-02/CBN2010.BA0642.html
CBN2013.FC6483,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/42-mm-calibre-heuer-02/CBN2013.FC6483.html
CBN2A1D.BA0643,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/44-mm-calibre-heuer-02-automatic/CBN2A1D.BA0643.html
CAZ101AF.BA0637,FORMULA 1,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-formula-1/43-mm-quartz/CAZ101AF.BA0637.html
CAZ201B.FC6487,FORMULA 1,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-formula-1/44-mm-calibre-16-automatic/CAZ201B.FC6487.html
CAR5A8E.FT6181,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/45-mm-calibre-heuer-02-tourbillon/CAR5A8E.FT6181.html
WAY201N.FT6177,AQUARACER,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-aquaracer/43-mm-calibre-5-automatic/WAY201N.FT6177.html
